Style,StyleID,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness
American IPA,7,"19,87","1,075","1,019","7,39","75,93","6,78","24,61",60,"1,061",73,"1,5"
American IPA,7,"18,93","1,046","1,009","4,92","36,87","4,4","30,28",60,"1,029",60,"1,25"
American Pale Ale,10,20,"1,041","1,007","4,53","43,31","8,73",30,60,"1,028",70,4
American IPA,7,10,"1,059","1,01","6,35","80,45","11,75",12,70,"1,049",70,"4,13"
American Pale Ale,10,"47,7","1,031","1,005","3,39","20,34","5,27",53,60,"1,028",70,"1,5"
American Pale Ale,10,"20,82","1,051","1,01","5,45","46,81","9,72","11,36",60,"1,094",35,
Saison,134,"20,82","1,062","1,012","6,51","29,98","3,52","22,71",60,"1,057",85,
American Pale Ale,10,75,"13,5581","2,33945","6,01","38,42",4,80,60,"12,7",85,3
American IPA,7,55,"1,065","1,011","7,14","74,05","9,36",70,90,"1,051",85,3
American IPA,7,"20,82","1,061","1,01","6,66","49,87","5,4","24,61",90,"1,052",87,"1,5"
American Light Lager,9,"22,71","1,025","1,006","2,46",0,"5,2","24,61",30,"1,023",70,"1,96"
American IPA,7,"18,93","1,069","1,011","7,52","64,34","11,43","28,39",60,"1,046",70,"1,5"
American Pale Ale,10,"18,93","1,052","1,01","5,55","45,32","5,5","22,71",30,"1,043",63,"1,5"
American IPA,7,19,"1,067","1,015","6,81","51,16","4,85",26,60,"1,049",55,3
American Light Lager,9,"19,87","1,058","1,018","5,22","13,97","3,91","11,36",60,"1,045",35,
American IPA,7,"22,7","1,062","1,018","5,79","66,85","8,83",31,60,"1,045",70,
American Pale Ale,10,"20,82","1,051","1,007","5,76","61,67","4,94","24,61",60,"1,043",72,
American IPA,7,12,"1,045","1,011","4,44","33,69","4,14",6,60,"1,09",35,
American IPA,7,22,"1,064","1,015","6,4","58,66","10,06",27,60,"1,052",75,3
American Pale Ale,10,21,"1,041","1,008","4,37","34,77","6,47","28,5",60,"1,03",55,3
American IPA,7,"7,8","1,055","1,009","6,07","92,33","3,58",10,60,"1,043",30,
American IPA,7,"18,93","1,06","1,015","5,95","57,46","11,76","11,36",60,"1,101",35,
American IPA,7,20,"1,061","1,015","6,08","58,54","7,75",20,60,"1,061",65,"2,5"
American IPA,7,"11,36","1,064","1,012","6,79","57,6","6,61","15,14",60,"1,048",72,
American Pale Ale,10,25,"1,047","1,011","4,71","32,51","7,64",32,90,"1,037",75,3
American IPA,7,"41,64","1,06","1,014","6,07","47,57","9,11","49,21",60,"1,051",73,
American Light Lager,9,50,"1,064","1,016","6,34","64,23","5,81",53,60,"1,061",70,
American Pale Ale,10,"20,82","1,048","1,01","5,08","38,24","5,57","26,5",60,"1,038",70,"1,4"
American IPA,7,14,"1,06","1,012","6,28","63,08","7,61",18,60,"1,046",58,"3,6"
American IPA,7,19,"1,058","1,01","6,36","74,24","7,03","26,92",60,"1,041",72,
American Light Lager,9,"24,61","1,075","1,019","7,39","66,55","5,73","30,28",60,"1,061",70,"1,4"
American Pale Ale,10,"18,93","1,054","1,014","5,25","48,21","9,72","23,09",60,"1,04",75,"1,3"
American Pale Ale,10,23,"1,056","1,01","6,04","42,44","9,95",30,60,"1,043",70,
American Pale Ale,10,"4,73","1,06","1,016","5,86","32,52","7,04","6,93",30,"1,041",72,
American Pale Ale,10,27,"1,045","1,011","4,45","18,78","3,87",12,60,"1,102",35,
American Light Lager,9,60,"1,056","1,018","4,95","32,34","8,87",85,90,"1,04",83,3
Saison,134,"20,82","1,049","1,013","4,62","23,37","5,11","28,39",90,"1,036",80,"1,25"
American IPA,7,"34,07","1,05","1,013","4,87","28,71","11,32","37,85",60,"1,045",70,"1,5"
American Pale Ale,10,21,"1,053","1,01","5,68","40,13","5,92","28,5",60,"1,039",70,
American IPA,7,"20,82","1,079","1,013","8,61","141,58","4,2","28,39",90,"1,058",70,"1,5"
American Pale Ale,10,53,"1,05","1,008","5,49","30,25","7,59",60,60,"1,044",65,"2,5"
American IPA,7,"18,93","1,064","1,015","6,4","217,6","5,74","24,49",45,"1,05",70,"1,25"
American Pale Ale,10,"20,82","1,047","1,008","5,16","55,77","7,85","28,39",60,"1,035","70,5",
American Light Lager,9,"20,82","1,055","1,009",6,"52,42","5,36","28,39",60,"1,04",75,
American IPA,7,23,"1,054","1,014","5,36","41,74","7,83",28,60,"1,045",70,"2,5"
American IPA,7,"18,93","1,067","1,02","6,23","56,89","30,94","24,98",60,"1,051",65,"1,2"
Saison,134,"3,79","1,052","1,01","5,49","16,86","5,23","3,79",60,"1,052",50,"1,5"
American IPA,7,"22,71","1,063","1,014","6,48","53,09","7,21","26,5",60,"1,054",83,"1,25"
American Light Lager,9,35,"1,046","1,006","5,23","4,44","3,21",45,60,"1,036",75,3
American Light Lager,9,"18,93","1,084","1,021","8,31",0,"17,87","28,39",60,"1,056",70,"1,5"
American Pale Ale,10,"21,77","1,047","1,011","4,82","41,57","6,28","25,55",60,"1,04",77,
American Light Lager,9,"18,17","1,062","1,015","6,25","71,05","16,76","24,61",60,"1,046",60,"1,5"
American Pale Ale,10,80,"1,054","1,009","5,87","23,8","5,63",90,60,"1,048",65,3
American IPA,7,"41,64","1,054","1,01","5,79","21,62","6,86","49,21",60,"1,046",72,"1,5"
American Pale Ale,10,"20,82","1,058","1,014","5,7","41,77","5,73","26,5",60,"1,045",75,"1,5"
American Pale Ale,10,20,"1,048","1,008","5,22","27,6","3,55","28,5",60,"1,034",65,4
American IPA,7,23,"1,058","1,012","6,07","41,03","7,99","28,5",60,"1,047",70,
American IPA,7,15,"1,053","1,01","5,59","40,93","4,84",20,60,"1,039",35,
Saison,134,"11,36","1,047","1,014","4,3","37,14","6,22","17,03",60,"1,031",51,
American Light Lager,9,1050,"1,037","1,009","3,65",0,"2,3",1100,60,"1,035",83,3
American IPA,7,"20,82","1,068","1,016","6,8","30,05","7,77","28,39",60,"1,05",75,"1,5"
American Pale Ale,10,"24,61","1,063","1,013","6,45","45,9","3,92","30,28",60,"1,051",75,"1,4"
American Light Lager,9,21,"1,062","1,015","6,08",0,"44,17","28,5",60,"1,046",55,3
American Amber Ale,4,21,"1,057","1,011","6,08","21,28","14,68",8,60,"1,15",35,
American Pale Ale,10,20,"11,9585","2,60707","4,99","34,62","5,83",23,60,"10,5",75,"5,2"
American IPA,7,"18,93","1,054","1,014","5,25","60,86","12,49","11,36",60,"1,089",75,
American Pale Ale,10,"20,82","1,053","1,009","5,83","72,83","10,71","30,28",60,"1,037",60,"1,5"
American Pale Ale,10,"20,82","1,058","1,015","5,64","42,76","7,04","28,39",60,"1,043",70,"1,5"
American Light Lager,9,38,"1,05","1,012","4,88","23,05","6,93",30,60,"1,063",75,3
American IPA,7,"41,64","1,061","1,014","6,21","66,54","5,91","49,21",60,"1,052",74,
Saison,134,"45,42","1,056","1,011","5,87","29,94","3,92","28,39",90,"1,09",70,"1,35"
American IPA,7,50,"1,064","1,012","6,83","34,77","9,17",54,60,"1,06",70,
American IPA,7,"20,82","1,044","1,008","4,73","111,39","6,19","28,39",60,"1,032",60,
American IPA,7,30,"1,063","1,017","6,06","41,28","6,27",34,60,"1,056",75,3
American Pale Ale,10,"56,78","1,055","1,013","5,52","30,67","11,65","85,17",60,"1,037",35,"1,5"
American Pale Ale,10,"20,82","1,059","1,015","5,68","87,53","11,3","28,39",60,"1,043",70,"1,5"
American Pale Ale,10,"18,93","1,051","1,014","4,82","24,28","9,79","23,09",60,"1,042",65,"1,5"
American Light Lager,9,"20,82","1,084","1,011","9,55","247,45","5,93","34,07",90,"1,051",70,
Saison,134,"20,82","1,058","1,012","6,13","27,43","4,73","28,39",60,"1,043",70,
American IPA,7,"18,93","1,075","1,016","7,65","80,12","4,6","26,5",75,"1,053",80,"1,5"
Saison,134,"18,93","1,061","1,017","5,78","34,49","3,54","24,61",60,"1,047",75,"1,5"
American Pale Ale,10,"20,82","1,059","1,014","5,9","61,91","4,24","11,36",60,"1,108",35,
American IPA,7,"20,82","1,074","1,013","7,96","67,13","5,68","28,39",60,"1,054",70,
American IPA,7,7,"1,065","1,017","6,36","86,75","21,16",14,60,"1,033",65,"2,5"
American Light Lager,9,25,"1,051","1,012","5,1","43,83","11,08","28,5",60,"1,045",70,3
Saison,134,"20,82","1,059","1,01","6,38","40,61","13,17","7,57",60,"1,143",35,
American IPA,7,"20,82","1,051","1,011","5,23","17,88","9,35","28,39",60,"1,037",70,"1,5"
American Pale Ale,10,"20,82","1,056","1,01","6,02","27,6","6,72","28,39",60,"1,041",70,"1,25"
American Amber Ale,4,"18,93","1,049","1,013","4,7","32,01","15,63","27,63",60,"1,034",75,
American IPA,7,"15,14","1,051","1,012","5,13",0,"3,59","22,33",60,"1,035",69,"1,5"
American IPA,7,"18,9","1,063","1,011","6,72","64,91","5,02","28,4",60,"1,042",80,3
American IPA,7,"41,64","1,067","1,016","6,75","82,48","5,26","49,21",60,"1,057",70,1
American IPA,7,"20,82","1,067","1,018","6,55","69,47","14,51","28,39",60,"1,049",75,"1,5"
American IPA,7,21,"1,052","1,013","5,14","31,67","10,71","28,5",60,"1,039",60,"3,1"
American IPA,7,"41,64","1,084","1,018","8,67","101,83","8,11",53,60,"1,066",70,
American Pale Ale,10,25,"1,053","1,012","5,35","29,77","4,63",30,60,"1,044",68,"2,5"
American Pale Ale,10,"20,82","1,056","1,014","5,52","68,09","33,52","22,71",60,"1,051",65,"1,5"
American Light Lager,9,"11,36","1,059","1,015","5,79","48,04","5,46","15,14",60,"1,044",80,"1,5"
American IPA,7,"20,82","1,055","1,015","5,25","157,74","5,87","22,71",60,"1,051",35,
American Pale Ale,10,"20,82","1,069","1,017","6,75","82,59","7,17","28,39",60,"1,05",60,"1,5"
American Light Lager,9,"20,82","1,055","1,012","5,71",0,"6,21","11,36",60,"1,101",35,
American Pale Ale,10,"17,03","1,05","1,011","5,16","31,93","7,54","18,93",60,"1,02",55,
American IPA,7,"20,82","1,06","1,013","6,2","65,19","6,12","24,61",60,"1,051",70,"1,25"
American Light Lager,9,21,"1,05","1,01","5,32","61,15","23,47","28,5",60,"1,037",50,3
American IPA,7,20,"1,055","1,011","5,76","70,66","4,69",25,60,"1,044",75,"1,5"
American IPA,7,"20,82","1,075","1,019","7,42","53,38","11,06","28,39",60,"1,055",90,"1,5"
American IPA,7,20,"1,054","1,011","5,69","67,19","5,72","28,5",60,"1,038",68,3
American IPA,7,25,"1,062","1,01","6,8","73,78","7,99",29,90,"1,054",80,"2,7"
American IPA,7,"13,25","1,059","1,012","6,16","81,2","8,12","11,36",60,"1,069",35,
Saison,134,"37,85","1,062","1,013","6,47","44,02","9,42","43,53",60,"1,054",63,"1,5"
American Pale Ale,10,20,"1,042","1,01","4,24","36,51","3,71",20,60,"1,042",75,"6,5"
American IPA,7,"45,42","1,057","1,014","5,58","33,36","6,53","51,1",60,"1,05",75,"1,3"
American IPA,7,"21,77","1,072","1,016","7,31","60,54","11,09","28,39",60,"1,055",70,"1,41"
American Pale Ale,10,"39,75","1,052","1,01","5,59","56,75","7,59","45,42",60,"1,046",75,"1,25"
Saison,134,"18,93","1,066","1,011","7,18","36,63","6,56","11,36",60,"1,11",70,
American Light Lager,9,"15,14","1,05","1,01","5,29",0,"4,57","28,39",60,"1,027",55,
American Pale Ale,10,"20,82","1,057","1,012","5,93","51,34","5,21","28,39",60,"1,042",70,
American IPA,7,"22,71","1,062","1,013","6,36","139,57","6,29","28,39",90,"1,05",70,"1,5"
American Pale Ale,10,"41,64","1,07","1,018","6,81","6,14","4,79","49,21",60,"1,059",80,"1,5"
American Light Lager,9,20,"1,035","1,006","3,75","59,57","33,93","28,5",60,"1,023",35,3
American Light Lager,9,1600,"19,9894","3,15665","9,26","61,62","6,03",1800,60,"17,9",82,"3,2"
American IPA,7,"15,14","1,072","1,016","7,25","97,65","4,74","20,82",90,"1,052",65,"1,5"
American Light Lager,9,35,"1,055","1,013","5,53","66,73","6,73",45,90,"1,043",75,"3,48"
American Light Lager,9,"3,79","1,075","1,019","7,34",0,50,"7,57",60,"1,037",70,"1,5"
American IPA,7,23,"1,061","1,01","6,78","60,44","5,15",26,60,"1,054",70,3
Saison,134,"20,82","1,048","1,01","5,01","27,23","23,44","28,39",60,"1,035",60,"1,5"
American IPA,7,20,"1,059","1,015","5,76","61,18","6,17",25,70,"1,047",75,
American Pale Ale,10,"20,82","1,043","1,009","4,36","66,77","4,22","24,61",75,"1,036",70,
American Pale Ale,10,"20,82","1,054","1,014","5,28","21,56","4,68","26,5",60,"1,043",73,"1,5"
American Pale Ale,10,"22,71","1,057","1,015","5,52","36,27","5,83","32,18",60,"1,04",79,2
American IPA,7,23,"1,082","1,019","8,26","107,7","6,09",28,90,"1,067",75,"2,7"
American IPA,7,23,"1,068","1,013","7,18","80,78","6,1",27,60,"1,058",75,3
American Pale Ale,10,"20,82","1,055","1,01","5,81","40,38","12,85","28,39",60,"1,04",73,
American Pale Ale,10,20,"1,057","1,011","6,01","81,87","3,98",25,60,"1,045",75,3
American Pale Ale,10,"7,57","1,053","1,012","5,44","46,48","5,77","12,11",60,"1,033",70,
American Amber Ale,4,"18,93","1,06","1,014","5,98","57,46","28,38","30,28",60,"1,037",70,"1,25"
American Pale Ale,10,"113,56","1,056","1,014","5,49","46,17","3,51","140,06",60,"1,045",80,"1,5"
American Pale Ale,10,"20,82","1,052","1,011","5,35","65,85","5,94","28,77",60,"1,038",73,
American Amber Ale,4,16,"1,061","1,019","5,55","79,51","13,91",22,60,"1,044",70,18
American Pale Ale,10,15,"1,062","1,012","6,49",33,"11,52",15,60,"1,062",70,"2,8"
American Amber Ale,4,"1059,92","1,053","1,011","5,6","31,08","19,07","1211,33",60,"1,047",70,"1,5"
Saison,134,"20,82","1,057","1,013","5,76","21,21","4,39","26,5",60,"1,045",65,
American IPA,7,"14,76","1,055","1,012","5,73","99,97","4,79","17,41",60,"1,047",70,"1,5"
American Light Lager,9,"11,36","1,049","1,012","4,86",0,"3,17","28,39",60,"1,02",80,"2,7"
American Light Lager,9,"39,75","1,057","1,013","5,69","28,87","16,85","49,21",60,"1,046",70,"1,25"
American IPA,7,"18,93","1,055","1,011","5,89","55,65","3,84","11,36",60,"1,092",35,
American Light Lager,9,20,"1,067","1,013","7,16",0,"13,37",25,60,"1,054",80,3
American Pale Ale,10,20,"1,051","1,012","5,06","47,21","7,73","26,5",60,"1,038",65,
American Pale Ale,10,4,"1,055","1,014","5,38","32,3","5,74",6,60,"1,036",70,3
American IPA,7,20,"1,057","1,01","6,24","69,79","4,02",24,60,"1,048",75,3
American Light Lager,9,"20,82","1,064","1,015","6,52","28,2","36,15","11,36",60,"1,118",35,
Saison,134,"18,93","1,037","1,007","3,92","82,65","3,31",12,60,"1,059",75,
American IPA,7,"41,64","1,083","1,021","8,14","103,43","5,61","54,89",90,"1,063",75,"1,5"
American IPA,7,"18,93","1,067","1,016","6,72","100,8","5,34","22,71",60,"1,056",60,"1,5"
American IPA,7,70,"1,062","1,012","6,5","54,57","6,77",80,60,"1,054",77,"2,5"
American IPA,7,"3,79","1,058","1,011","6,15","55,8","6,61","9,84",60,"1,022",75,"1,5"
American IPA,7,"24,61","1,085","1,023","8,08","17,86","5,36","30,28",60,"1,069",72,
American IPA,7,43,"1,053","1,01","5,74","47,42","6,05",48,70,"1,048",77,"2,5"
American IPA,7,"20,82","1,069","1,018","6,74","72,88","9,23","27,25",60,"1,053",35,
Saison,134,"20,82","1,07","1,018","6,8",0,"3,85","27,44",60,"1,053",73,"1,5"
American IPA,7,10,"1,061","1,011","6,51","40,42","4,76",14,60,"1,043",66,
American Light Lager,9,"20,82","1,056","1,014","5,49","51,21","4,97","29,34",60,"1,04",70,
American Light Lager,9,"4,54","1,06","1,015","5,93","21,71","23,88","6,81",60,"1,04",60,"1,5"
American Pale Ale,10,32,"11,915","3,06904","4,73","24,23","3,27",36,60,"10,6",70,"2,2"
American IPA,7,"30,28","1,063","1,016","6,11","42,08","5,3","34,07",60,"1,056",65,"1,5"
American Amber Ale,4,"64,35","1,059","1,011","6,28","18,21","12,45",53,60,"1,072",75,
American IPA,7,"18,93","1,038","1,009","3,93","77,07","4,3","24,61",60,"1,03",40,
American Amber Ale,4,110,"1,049","1,009","5,25","29,89","10,71",115,90,"1,047",78,3
American IPA,7,"23,1","1,051","1,009","5,47","53,23","9,73","32,2",60,"1,037",65,
American IPA,7,"37,85","1,03","1,007","2,91",0,"11,58","47,32",60,"1,024",35,
American Light Lager,9,25,"1,042","1,01","4,21","48,47","4,31",20,75,"1,052",70,3
American IPA,7,23,"1,058","1,013","5,93",0,"5,93","28,5",75,"1,047",77,
American Pale Ale,10,"22,71","1,053","1,012","5,4",42,"9,94","11,36",60,"1,106",25,
American IPA,7,21,"1,06","1,014","5,95","57,98","7,03",25,60,"1,05",69,"2,4"
American IPA,7,"20,82","1,078","1,02","7,64","68,43","5,67","30,28",60,"1,054",70,"1,5"
American Pale Ale,10,12,"1,057","1,015","5,45","30,14","6,75",14,60,"1,049",70,3
American IPA,7,"18,93","1,059","1,014","5,89","67,19","7,05","24,61",60,"1,045",65,"1,5"
American IPA,7,"20,82","1,06","1,016","5,83","59,25","6,82","28,39",60,"1,041",70,
American Light Lager,9,21,"1,055","1,014","5,33","73,8","3,72","28,5",60,"1,04",75,3
American Pale Ale,10,"20,82","1,057","1,014","5,61","97,35","4,55","29,11",60,"1,041",73,
American Light Lager,9,25,"1,055","1,012","5,63","17,01","3,46",29,60,"1,048",75,"3,5"
American Pale Ale,10,5,"1,054","1,015","5,08","30,85","11,92",4,60,"1,067",35,
American Pale Ale,10,"13,25","1,051","1,011","5,24","35,31","5,94","18,93",75,"1,036",70,"1,5"
American Pale Ale,10,"19,87","1,076","1,014","8,03","143,6","12,06","24,61",90,"1,061",75,"1,5"
American Pale Ale,10,"17,03","1,05","1,015","4,61","45,63","9,61","21,77",60,"1,039",80,
American IPA,7,"22,71","1,063","1,014","6,56","54,81","6,84","28,39",90,"1,051",70,"1,33"
American Pale Ale,10,20,"1,06","1,012","6,28","46,27","7,06",28,60,"1,043",85,3
American Pale Ale,10,"18,93","1,06","1,016","5,7","40,14","8,63","26,5",60,"1,043",70,"1,5"
American IPA,7,"18,93","1,067","1,013","7,04","79,69","10,86","24,61",60,"1,051",70,"1,5"
American Light Lager,9,"20,82","1,076","1,019","7,52",0,"10,91","11,36",60,"1,14",35,
American IPA,7,"39,75","1,048","1,011","4,85","59,26","6,14","48,07",60,"1,04",87,"1,65"
American IPA,7,"20,82","1,047","1,011","4,68","77,81","7,35","28,39",60,"1,034",70,
American Pale Ale,10,"2801,2","14,2799","3,2705","5,94","57,71","4,03","3028,33",90,"13,3",94,"1,5"
Saison,134,"20,82","1,072","1,016","7,37","31,69","6,26","26,5",60,"1,057",50,
American Pale Ale,10,26,"1,054","1,01","5,8","33,44","6,41",31,60,"1,045",75,"2,7"
American Pale Ale,10,"20,82","1,06","1,019","5,38","60,1","12,64","28,39",60,"1,044",60,
American Pale Ale,10,21,"1,051","1,008","5,6","37,67","5,28","28,5",90,"1,038",77,
American Pale Ale,10,21,"1,048","1,009","5,18","31,17","4,18",25,60,"1,04",100,3
American IPA,7,"37,85","1,076","1,01","8,74","10,06","8,46","56,78",105,"1,051",67,1
American Amber Ale,4,"41,64","1,056","1,011","5,92","46,8","11,72",53,60,"1,044",70,"1,2"
American IPA,7,"26,5","1,063","1,01","6,84","69,61","7,83",30,60,"1,055",60,3
Saison,134,15,"1,059","1,013","6,08","28,28","4,78",21,60,"1,042",65,3
American Pale Ale,10,21,"1,073","1,018","7,2","71,24","11,67","28,5",60,"1,054",75,3
American IPA,7,40,"1,078","1,017","8,03","255,82","8,53",44,60,"1,071",50,3
American IPA,7,21,"1,056","1,011","5,93","52,74","4,37","28,5",60,"1,041",65,3
American Light Lager,9,60,"1,06","1,01","6,54",0,"3,98",75,60,"1,048",75,"3,2"
Saison,134,"435,32","1,062","1,012","6,54","28,84","28,9","492,1",60,"1,055",80,"1,25"
American Pale Ale,10,"20,82","1,058","1,014","5,82",0,"7,22","11,36",90,"1,106",35,
American Pale Ale,10,"20,82","1,064","1,017","6,22","47,7","9,49","28,39",60,"1,047",70,"1,25"
American Pale Ale,10,40,"1,049","1,011","4,99","36,36","5,07",45,60,"1,044",80,3
American IPA,7,200,"1,056","1,011","5,95","60,48","10,47",200,60,"1,056",50,3
American IPA,7,50,"1,056","1,014","5,52","40,24","2,93",55,60,"1,051",70,3
American IPA,7,"20,82","1,068","1,013","7,16","71,52","5,13","28,39",60,"1,05",70,"1,25"
American Pale Ale,10,21,"1,052","1,01","5,5",36,"4,46",11,60,"1,099",90,
American Amber Ale,4,"20,82","1,06","1,019","5,37","25,61","15,36","24,61",60,"1,051",68,"1,25"
American Light Lager,9,"18,93","1,066","1,013","7,03","12,42","4,26","11,36",60,"1,11",35,
Saison,134,"28,39","1,064","1,01","7,04","31,87","4,11","35,96",90,"1,051",76,"1,25"
American IPA,7,"9,46","1,066","1,02","6,02","145,6","12,45","5,68",60,"1,109",35,
American Light Lager,9,"9,46","1,061","1,015","6,01",0,"11,06","18,93",60,"1,031",70,
American Light Lager,9,"41,64","1,044","1,009","4,55","17,47","4,11","45,42",30,"1,04",68,
American IPA,7,"11,36","1,066","1,015","6,77","112,62","7,66","17,03",60,"1,044",70,"1,4"
American Light Lager,9,21,"1,046","1,014","4,24","41,73","5,97","28,5",60,"1,034",70,3
American IPA,7,"20,82","1,062","1,019","5,67","61,22","8,72","26,5",60,"1,048",68,
American IPA,7,"37,85","1,065","1,017","6,2","61,39","5,94","43,53",60,"1,056",70,"1,25"
Saison,134,28,"1,052","1,01","5,58","30,99","4,67",28,90,"1,052",70,
American IPA,7,10,"1,051","1,013","4,98","63,24","8,37",10,60,"1,051",75,
American Pale Ale,10,21,"1,052","1,009","5,66","42,11","5,28","28,5",60,"1,038",70,
American Pale Ale,10,"22,71","1,054","1,01","5,7","22,62","5,19","28,39",60,"1,043",70,"1,7"
American IPA,7,"20,82","1,046","1,008","5,06","100,19","5,35","28,84",60,"1,033",73,
American Light Lager,9,30,"1,049","1,012","4,87","31,35","4,83",38,60,"1,039",75,
American Pale Ale,10,"20,82","1,051","1,013","5,05","42,95","3,64","28,39",60,"1,038",70,"1,5"
American Light Lager,9,20,"1,047","1,007","5,23","26,99","8,13",25,60,"1,038",68,
American IPA,7,"22,71","1,08","1,019","8,02","54,02","7,46","28,39",60,"1,064",75,
Saison,134,"22,71","1,036","1,007","3,82","26,01","3,44","28,39",90,"1,029",80,"1,5"
American Light Lager,9,55,"1,054","1,009","5,93","75,72","6,79",60,60,"1,05",75,3
American Pale Ale,10,"18,93","1,052","1,011","5,4","48,71","7,75","28,39",60,"1,034",75,"1,5"
American Light Lager,9,"20,82","1,038","1,009","3,71","20,99","13,88","26,5",60,"1,03",70,"1,5"
American IPA,7,20,"1,062","1,013","6,41","61,57","6,8",21,60,"1,059",58,3
American IPA,7,23,"1,057","1,011","5,98","75,44","4,58",11,60,"1,023",55,
American Pale Ale,10,"18,93","1,07","1,017","6,86","76,44","25,31","11,36",60,"1,116",35,
American Light Lager,9,"20,82","1,065","1,015","6,52","28,58","8,91","28,39",75,"1,048",75,"1,5"
American IPA,7,"41,64","1,08","1,025","7,18","85,76","6,19","45,42",90,"1,073",70,"1,5"
American Pale Ale,10,13,"1,049","1,009","5,28","34,43","9,95",20,60,"1,032",70,5
American Pale Ale,10,22,"1,048","1,01","5,09","39,17","3,72","35,6",75,"1,03",78,"7,31"
American Pale Ale,10,"18,93","1,066","1,012","7,18","31,86","5,52","11,36",60,"1,111",60,
American Light Lager,9,14,"1,049","1,011","4,97",0,"7,79",11,60,"1,063",50,
American IPA,7,"18,93","1,064","1,015","6,41","64,33","10,64","22,71",60,"1,053",63,"1,75"
American Pale Ale,10,23,"13,0493","2,45712","5,67","44,43","5,85",30,60,"10,1",75,3
American IPA,7,"20,82","1,06","1,014","6,03","78,12","15,56","20,82",60,"1,06",35,
American Amber Ale,4,"20,82","1,047","1,012","4,58","45,91","16,25","28,39",60,"1,034",62,
American IPA,7,26,"1,057","1,014","5,62","64,72","4,62",28,60,"1,053",62,3
American IPA,7,"20,82","1,068","1,017","6,69","24,86","5,11","28,39",60,"1,05",60,1
American Pale Ale,10,"20,82","1,03","1,008","2,99",0,"8,5","26,5",60,"1,024",35,"1,5"
American Pale Ale,10,"20,82","1,06","1,015","5,95","44,26","6,18","11,36",60,"1,095",35,
American IPA,7,"20,82","1,063","1,016","6,19","95,26","7,17","28,39",60,"1,046",70,"1,25"
American IPA,7,"18,93","1,062","1,014","6,31","122,35","4,36","24,61",60,"1,048",77,2
American Light Lager,9,"18,93","1,053","1,008","5,82","28,85","8,03","24,61",60,"1,041",50,"1,5"
American Pale Ale,10,"45,42","1,063","1,018","5,9","39,36","7,05","60,57",90,"1,047",70,"1,33"
Saison,134,"3,79","1,054","1,01","5,88","28,84","3,87","7,57",60,"1,027",70,
American Pale Ale,10,"21,5","1,057","1,011","6,07","37,84","5,22",13,60,"1,094",35,
American IPA,7,"20,82","1,097","1,014",11,"92,48","6,59","28,39",60,"1,071",75,"1,4"
American Pale Ale,10,20,"1,051","1,01","5,37","38,43","13,57",28,60,"1,036",65,3
American IPA,7,"20,82","1,074","1,019","7,29","60,92","11,19","26,5",60,"1,058",80,"1,5"
American Light Lager,9,23,"1,064","1,015","6,47","60,85","5,45",28,90,"1,053",70,"2,96"
American Light Lager,9,"20,82","1,062","1,016","6,03",0,"5,21","28,39",60,"1,046",75,
American IPA,7,"20,82","1,065","1,011",7,"68,59","9,46","28,39",60,"1,048",71,"1,25"
American IPA,7,20,"1,054","1,012","5,5","61,09","6,09",28,60,"1,039",70,"3,5"
American IPA,7,10,"1,065","1,016","6,4",0,"4,95",2,60,"1,325",35,
American Pale Ale,10,35,"1,048","1,011","4,87","38,35","9,57",30,60,"1,056",60,3
American Pale Ale,10,"37,85","1,066","1,017","6,5","60,52","7,13","47,32",60,"1,053",75,"1,5"
American IPA,7,4,"1,061","1,015","6,04","56,19","9,39",6,60,"1,041",35,
American Pale Ale,10,25,"1,049","1,009","5,19","40,43","5,71",30,60,"1,041",78,"3,3"
Saison,134,18,"1,062","1,012","6,52","24,66","6,15",20,60,"1,056",70,
Saison,134,"20,82","1,055","1,01","5,99","24,93","7,71","26,5",60,"1,044",65,"1,25"
American IPA,7,"20,82","1,064","1,011","7,02","52,82","6,15","18,93",60,"1,071",60,
American Pale Ale,10,24,"1,046","1,012","4,54","34,99","6,1",28,60,"1,04",80,"3,5"
American IPA,7,"22,71","1,061","1,017","5,88","76,01","4,61","30,28",60,"1,046","68,9","1,5"
American IPA,7,"18,93","1,065","1,012","6,92","51,52","5,49","24,61",60,"1,05",65,"1,5"
American Light Lager,9,"20,82","1,053","1,013","5,17","47,44","4,79","28,39",60,"1,039",75,
American Pale Ale,10,25,"1,051","1,012","5,13","38,06","9,24","28,5",60,"1,045",70,"2,5"
American Pale Ale,10,19,"1,045","1,009","4,71","49,48","11,71",24,60,"1,035",53,
American IPA,7,25,"1,058","1,015","5,62","42,47","6,61",40,60,"1,036",70,
American Pale Ale,10,"20,82","1,054","1,016","5,02","25,88","4,51","28,39",60,"1,04",70,"1,25"
American Pale Ale,10,"18,93","1,053","1,013","5,2","57,72","4,61","9,46",60,"1,106",35,
American Pale Ale,10,"18,93","1,052","1,013","5,07","23,76","6,78","20,06",60,"1,049",65,"1,5"
American IPA,7,"41,64","1,079","1,018","8,07",0,"6,73","46,18",60,"1,072",80,"1,5"
American Light Lager,9,10,"1,057","1,014","5,63","70,25","6,25",13,60,"1,044",70,3
American IPA,7,"20,82","1,05","1,013","4,9","49,53","3,92","28,39",60,"1,037",60,"1,5"
